email_id,intent,subject,body,sender_name,sender_email,sender_company,gt_amount,gt_currency,gt_doc_number,gt_date,mentions_amount,mentions_currency,mentions_doc_number,mentions_date
EMAIL-0409,other,Quick update from Lakewood Chemical Supply,"Dear Customer,

Thank you for your continued partnership. We are reaching out to schedule our annual review meeting. Would any time next week work for you?

Looking forward to your reply.

Kind regards,
James Wilson
Lakewood Chemical Supply",James Wilson,j.wilson@lakewoodchemicalsupp.com,Lakewood Chemical Supply,,,,,False,False,False,False
EMAIL-0186,invoice_submission,Invoice for hydraulic pump assemblies,"Hi Procurement Team,

We are sending you invoice no. F-2024-96104 for hydraulic pump assemblies.

Invoice amount: 58 272.00 USD
Due date: 19 Jun 2025

The invoice is attached in the agreed format. Please process at your earliest convenience.

Best regards,
Rachel Kim
OmniParts Distribution",Rachel Kim,r.kim@omnipartsdistributio.com,OmniParts Distribution,58272.0,USD,F-2024-96104,2025-06-19,True,True,True,True
EMAIL-0287,price_validity_confirmation,OmniParts Distribution – price confirmation,"Dear Procurement Team,

Thank you for checking in. We are happy to confirm that the quoted prices have not been revised and remain applicable.

Kind regards,
Hannah Fischer
OmniParts Distribution",Hannah Fischer,h.fischer@omnipartsdistributio.com,OmniParts Distribution,,,,,False,False,False,False
EMAIL-0313,price_validity_confirmation,Confirmation of current pricing,"Dear Alex,

We can confirm that the prices from our previous quotation are still valid. No changes have been made.

Please let us know if you'd like to go ahead with the order.

Regards,
Fatima Al-Rashid
NorthStar Industrial",Fatima Al-Rashid,f.alrashid@northstarindustrial.com,NorthStar Industrial,,,,,False,False,False,False
EMAIL-0434,other,Follow-up: recent delivery,"Dear Team,

Thank you for your recent order. We wanted to let you know that it has been received and is currently being processed.

We will notify you once the shipment is ready.

Best regards,
Elena Popescu
Delta Precision Parts",Elena Popescu,e.popescu@deltaprecisionparts.com,Delta Precision Parts,,,,,False,False,False,False
EMAIL-0167,invoice_submission,Invoice – IronBridge Materials,"Dear Customer,

Please find the attached invoice for the goods delivered last week.

Let us know if everything is in order.

Regards,
Anna Kowalski
IronBridge Materials",Anna Kowalski,a.kowalski@ironbridgematerials.com,IronBridge Materials,,,,,False,False,False,False
EMAIL-0154,invoice_submission,Billing: – JetStream Packaging Co.,"Hi Customer,

Attached is the invoice for your recent order. All details are in the document.

Thank you,
Robert Taylor
JetStream Packaging Co.",Robert Taylor,r.taylor@jetstreampackagingco.com,JetStream Packaging Co.,,,,,False,False,False,False
EMAIL-0042,quote_offer,Commercial offer – MeridianTech Systems,"Dear Customer,

Please find attached our quotation for injection molding components as discussed.

All pricing details and terms are included in the attached document. Feel free to reach out if you need any clarification.

Best regards,
Ahmed Hassan
MeridianTech Systems",Ahmed Hassan,a.hassan@meridiantechsystems.com,MeridianTech Systems,,,,,False,False,False,False
EMAIL-0423,other,RE: Pending items,"Dear Purchasing Department,

This is a reminder that there are outstanding items on your account. Please review and let us know if there's anything we can help with.

Thank you,
Sarah Johnson
Vanguard Electrical",Sarah Johnson,s.johnson@vanguardelectrical.com,Vanguard Electrical,,,,,False,False,False,False
EMAIL-0330,price_increase,Price adjustment notice – WestBridge Plastics,"Dear Purchasing Department,

This is a courtesy notice regarding an upcoming adjustment to our standard pricing. The changes reflect increased costs across several product categories.

We will share the updated price list soon.

Sincerely,
James Wilson
WestBridge Plastics",James Wilson,j.wilson@westbridgeplastics.com,WestBridge Plastics,,,,,False,False,False,False
EMAIL-0097,quote_offer,Quotation – RedLine Automotive Parts,"Dear Purchasing Department,

Please find attached our quotation for conveyor belt rollers and bearings as discussed.

All pricing details and terms are included in the attached document. Feel free to reach out if you need any clarification.

Best regards,
James Wilson
RedLine Automotive Parts",James Wilson,j.wilson@redlineautomotivepar.com,RedLine Automotive Parts,,,,,False,False,False,False
EMAIL-0047,quote_offer,RE: Request for Quotation,"Hi Procurement Team,

As requested, I'm sending over our offer for your review. Everything is detailed in the attachment.

Let me know if you have any questions or if anything needs to be adjusted.

Cheers,
Carlos Mendez
JetStream Packaging Co.",Carlos Mendez,c.mendez@jetstreampackagingco.com,JetStream Packaging Co.,,,,,False,False,False,False
